,SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
8628,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$177.98,Wine Exchange,Pape Clement Pessac Leognan2009Pre-Arrival,USA (CA)
8630,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$189.00,Hart Davis Hart Wine Co.,"2009Chateau Pape-Clement(750ml),Graves,Pessac-Leognan",USA (IL)
8636,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$189.97,Wine.com,2009Chateau Pape Clement,USA (CA)
8637,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$190.00,The Redd Collection,"2009Ch Pape Clement,Rouge",USA (CA)
8638,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$190.00,Westgarth Wines,2009Pape Clement,USA (CA)
8642,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$195.00,Morrell & Company,"Pape Clement Pessac-Leognan2009(750ML),Pessac Leognan",USA (NY)
8643,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$195.99,67 Wine & Spirits NY,Chateau Pape Clement-Pessac-Leognan2009,USA (NY)
8645,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$199.00,Vinfolio,2009Pape Clement750ML,USA (CA)
8646,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$199.00,Calvert Woodley,Chateau Pape Clement-Pessac-Leognan2009(750ml),USA (DC)
8647,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$199.98,Wine Exchange,Pape Clement Pessac Leognan Rouge2009,USA (CA)
8648,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$199.98,Central Wine Merchants,Chateau Pape-Clement-Pessac-Leognan2009,USA (NJ)
8655,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$219.00,Sokolin & Co.,2009Pape Clement,USA (NY)
8658,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$225.00,Bird Rock Fine Wine,Chateau Pape Clement Pessac Leognan2009,USA (CA)
8661,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$239.99,K&L Wine Merchants,2009Pape Clement Pessac-Leognan,USA (CA)
8662,11548,"Ch Pape Clement,Rouge",2009,1.5L,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$240.74,Saratoga Wine Exchange,"2009Chateau Pape Clement Pessac Leognan,France,Bordeaux,Graves",USA (NY)
8670,11549,"Ch Pape Clement,Rouge",2009,750ml,https://www.wine-searcher.com/find/ch+pape+clement+rouge/2009/-/-/u,$170.00,Benchmark Wine Group,Pape Clement2009,USA (CA)
